,count,mean,std,min,25%,50%,75%,max,median,skewness,kurtosis
commit_frequency,62.0,19.35483870967742,48.86686388585964,1.0,3.0,7.0,13.0,300.0,7.0,5.001494608012345,25.671536273657853
unique_authors,62.0,3.9193548387096775,3.9971235030024888,1.0,1.0,3.0,5.0,28.0,3.0,3.7711206755290743,21.032907430028605
avg_commit_size,62.0,6045.325573696036,13161.429039447958,4.25,21.90625,143.125,3439.65,73499.0,143.125,3.1914596141092004,11.847384104330255
code_churn,62.0,172389.43548387097,818416.6158266232,12.0,141.0,969.0,41365.25,5997574.0,969.0,6.487104965129303,44.435865152444016
avg_files_per_commit,62.0,56.50210608937841,108.91547275122173,1.0,2.0,5.5,48.5,598.0,5.5,2.959987641252358,10.29615476099605
merge_commit_rate,62.0,0.050460009795570776,0.12550564415980628,0.0,0.0,0.0,0.0,0.5,0.0,2.727916086086105,6.72235159328846
avg_dmm_unit_size,29.0,0.4205927618725797,0.23545211992396223,0.0,0.3085358164414571,0.3927482577606903,0.511009361009361,1.0,0.3927482577606903,0.6947026820500304,1.1507250746729336
avg_dmm_complexity,29.0,0.7372291489316175,0.18390401797391756,0.38030686152791504,0.6282115869017633,0.696883946380027,0.8827906291439517,1.0,0.696883946380027,0.017891811064661086,-0.9143791732917941
author_diversity_ratio,62.0,0.5188026301228605,0.31516014113151636,0.03187250996015936,0.25201612903225806,0.5,0.764423076923077,1.0,0.5,0.3308554783697682,-1.1883399482865957
