Model,Accuracy Mean,Accuracy Std,Precision Mean,Recall Mean,F1 Mean,F1 Std,ROC-AUC Mean,ROC-AUC Std,Best Parameters
LightGBM,0.8833333333333334,0.15,0.861111111111111,0.8833333333333332,0.8590476190476191,0.16936560003490278,0.9147222222222222,0.19068609878962056,"{""classifier__learning_rate"": 0.1, ""classifier__max_depth"": -1, ""classifier__n_estimators"": 100, ""classifier__num_leaves"": 7}"
Random Forest,0.8833333333333334,0.15,0.8277777777777778,0.861111111111111,0.8323809523809522,0.18622125890680005,0.9555555555555555,0.12008870178454048,"{""classifier__max_depth"": null, ""classifier__min_samples_leaf"": 1, ""classifier__min_samples_split"": 2, ""classifier__n_estimators"": 100}"
XGBoost,0.8523809523809524,0.15714285714285714,0.7805555555555556,0.8222222222222223,0.7896825396825397,0.1824930927431693,0.9094444444444443,0.17951065170087838,"{""classifier__learning_rate"": 0.1, ""classifier__max_depth"": 2, ""classifier__n_estimators"": 50, ""classifier__subsample"": 0.8}"
Logistic Regression,0.7928571428571429,0.1384437310486346,0.8138888888888889,0.8222222222222222,0.7868253968253969,0.17127131234933196,0.9218253968253969,0.08595278400585561,"{""classifier__C"": 10, ""classifier__solver"": ""lbfgs""}"
Support Vector Machine,0.7238095238095238,0.1911298308608522,0.7611111111111111,0.7611111111111111,0.7238095238095237,0.2102728314434251,0.9006349206349207,0.09170568811449092,"{""classifier__C"": 1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""linear""}"
