Feature,Count,Mean,Std Dev,Minimum,Q1,Median,Q3,Maximum
commit_frequency,62.0,19.355,48.867,1.0,3.0,7.0,13.0,300.0
unique_authors,62.0,3.919,3.997,1.0,1.0,3.0,5.0,28.0
avg_commit_size,62.0,6045.326,13161.429,4.25,21.906,143.125,3439.65,73499.0
code_churn,62.0,172389.435,818416.616,12.0,141.0,969.0,41365.25,5997574.0
avg_files_per_commit,62.0,56.502,108.915,1.0,2.0,5.5,48.5,598.0
merge_commit_rate,62.0,0.05,0.126,0.0,0.0,0.0,0.0,0.5
avg_dmm_unit_size,62.0,0.406,0.16,0.0,0.393,0.393,0.393,1.0
avg_dmm_complexity,62.0,0.716,0.126,0.38,0.697,0.697,0.697,1.0
author_diversity_ratio,62.0,0.519,0.315,0.032,0.252,0.5,0.764,1.0
