Feature,Lower Bound,Upper Bound,Outlier Count,Outlier Percentage
commit_frequency,-12.0,28.0,10,16.129032258064516
unique_authors,-5.0,11.0,1,1.6129032258064515
avg_commit_size,-5104.709375,8566.265625,12,19.35483870967742
code_churn,-61695.375,103201.625,8,12.903225806451612
avg_files_per_commit,-67.75,118.25,11,17.741935483870968
merge_commit_rate,0.0,0.0,14,22.58064516129032
avg_dmm_unit_size,0.004825499589601268,0.8147196778612169,4,6.451612903225806
avg_dmm_complexity,0.24634302353848064,1.2646591925072344,0,0.0
author_diversity_ratio,-0.5165942928039702,1.5330334987593053,0,0.0
